snapshot_date,symbol,fy_date,epsAvg,epsHigh,epsLow,numAnalystsEps,revenueAvg,numAnalystsRevenue,sector,price,marketCap,volume
2026-08-14,AA,2030-12-31,0,0,0,1,13684000000,4,Basic Materials,50.08,13216562720,1535596
2026-08-14,AA,2029-12-31,8.15,9.00808,7.26349,1,14297545954,4,Basic Materials,50.08,13216562720,1535596
2026-08-14,AA,2028-12-31,6.44692,8.40856,4.97543,4,14278772598,9,Basic Materials,50.08,13216562720,1535596
2026-08-14,AA,2027-12-31,6.20057,9.78644,4.19419,8,15230053009,9,Basic Materials,50.08,13216562720,1535596
2026-08-14,AADX,2028-12-31,0.51333,0.54,0.49,3,905234820,5,Industrials,18.3,3133235470,625168.74545
2026-08-14,AADX,2027-12-31,0.41,0.45,0.38,4,776630000,5,Industrials,18.3,3133235470,625168.74545
2026-08-14,AADX,2026-12-31,0.14,0.22,0.09,2,671670000,4,Industrials,18.3,3133235470,625168.74545
2026-08-14,AADX,2025-12-31,0,0,0,1,522090000,1,Industrials,18.3,3133235470,625168.74545
2026-08-14,AAL,2030-12-31,3.2,3.29343,2.95814,4,77516000000,8,Industrials,14.845,9826943923,32028928.53061
2026-08-14,AAL,2029-12-31,3.265,3.36033,3.01822,2,71695000000,13,Industrials,14.845,9826943923,32028928.53061
2026-08-14,AAL,2028-12-31,3.3105,4.29235,2.08014,7,69012106595,17,Industrials,14.845,9826943923,32028928.53061
2026-08-14,AAL,2027-12-31,2.56404,4.18619,1.10934,14,65901745880,16,Industrials,14.845,9826943923,32028928.53061
2026-08-14,AAOI,2028-12-31,11.6,15.14715,8.43003,1,4166800000,1,Technology,147.99,11875127088,14604109
2026-08-14,AAOI,2027-12-31,5.72687,6.93677,4.50352,3,2801711860,3,Technology,147.99,11875127088,14604109
2026-08-14,AAOI,2026-12-31,1.03327,1.42075,0.64579,3,1040370400,4,Technology,147.99,11875127088,14604109
2026-08-14,AAOI,2025-12-31,-0.32563,-0.28493,-0.35005,4,452665557,4,Technology,147.99,11875127088,14604109
2026-08-14,AAPL,2030-09-27,12.85,14.15557,12.10216,9,664296666667,11,Technology,306.206,4497356531336,15345249
2026-08-14,AAPL,2029-09-27,11.69995,12.88868,11.01904,9,483092000000,18,Technology,306.206,4497356531336,15345249
2026-08-14,AAPL,2028-09-27,10.57965,11.40671,9.45296,20,557375353734,22,Technology,306.206,4497356531336,15345249
2026-08-14,AAPL,2027-09-27,9.52323,10.30691,8.93795,31,519164574483,30,Technology,306.206,4497356531336,15345249
2026-08-14,ABBV,2030-12-31,20.95556,21.4886,20.45691,5,84457229885,10,Healthcare,250.245,442131069491,1603159
2026-08-14,ABBV,2029-12-31,20.08807,20.59905,19.61006,5,82991042406,10,Healthcare,250.245,442131069491,1603159
2026-08-14,ABBV,2028-12-31,17.90993,21.57336,14.22622,8,78558257127,21,Healthcare,250.245,442131069491,1603159
