date,usd,eur,gbp,jpy
2009-06-24,,1.491240,1.513023,0.333000
2009-06-25,,1.443717,1.492918,0.314000
2009-06-26,,1.427059,1.522124,0.303000
2009-06-29,,1.469789,1.611716,0.294000
2009-06-30,,1.501304,1.721253,0.307000
2009-07-01,,1.468171,1.759411,0.287000
2009-07-02,,1.365578,1.688602,0.270000
2009-07-03,,1.361704,1.659804,0.255000
2009-07-06,,1.336316,1.607222,0.254000
2009-07-07,,1.342810,1.591960,0.259000
2009-07-08,,1.343700,1.501037,0.254000
2009-07-09,,1.368833,1.590354,0.240000
2009-07-10,,1.341143,1.528828,0.240000
2009-07-13,,1.340281,1.472070,0.245000
2009-07-14,,1.387413,1.539736,0.250000
2009-07-15,,1.420673,1.600507,0.260000
2009-07-16,,1.378358,1.575181,0.265000
2009-07-17,,1.405231,1.604557,0.265000
2009-07-20,,1.459214,1.662260,
2009-07-21,,1.438687,1.662793,0.276000
2009-07-22,,1.423172,1.678853,0.281000
2009-07-23,,1.420244,1.808099,0.276000
2009-07-24,,1.461922,1.779004,0.271000
2009-07-27,,1.528893,1.820522,0.267000
2009-07-28,,1.488341,1.802203,0.266000
2009-07-29,,1.478346,1.811799,0.271000
2009-07-30,,1.485738,1.810403,0.272000
2009-07-31,,1.433446,1.702083,0.275000
2009-08-03,,1.472925,1.777529,0.275000
2009-08-04,,1.507537,1.798203,0.270000
2009-08-05,,1.580300,1.802669,0.265000
2009-08-06,,1.613277,1.768279,0.265000
2009-08-07,,1.687589,1.800124,0.265000
2009-08-10,,1.681599,1.678181,0.275000
2009-08-11,,1.588962,1.654057,0.270000
2009-08-12,,1.587208,1.561548,0.270000
2009-08-13,,1.530638,1.506953,0.265000
2009-08-14,,1.473767,1.428997,0.265000
2009-08-17,,1.465017,1.405269,0.260000
2009-08-18,,1.478011,1.498653,0.260000
2009-08-19,,1.445984,1.395676,0.255000
2009-08-20,,1.453659,1.386409,0.246000
2009-08-21,,1.522081,1.377984,0.245000
2009-08-24,,1.527162,1.360549,0.246000
2009-08-25,,1.483098,1.287406,0.241000
2009-08-26,,1.462159,1.352341,0.241000
2009-08-27,,1.461976,1.389653,0.241000
2009-08-28,,1.467290,1.388643,0.242000
2009-08-31,,1.459397,,0.240000
2009-09-01,,1.436602,1.407169,0.240000
2009-09-02,,1.409791,1.397127,0.235000
2009-09-03,,1.375545,1.443730,0.230000
2009-09-04,,1.343950,1.409458,0.231000
2009-09-07,,1.313084,1.400277,0.237000
2009-09-08,,1.315315,1.426309,0.233000
2009-09-09,,1.342057,1.477215,0.223000
2009-09-10,,1.279506,1.427680,0.209000
2009-09-11,,1.269563,1.400971,0.204000
2009-09-14,,1.291881,1.409399,0.209000
2009-09-15,,1.322132,1.292005,0.210000
2009-09-16,,1.342929,1.339487,0.210000
2009-09-17,,1.378464,1.361295,0.215000
2009-09-18,,1.379096,1.367927,0.225000
2009-09-21,,1.342107,1.384447,
2009-09-22,,1.344902,1.376087,
2009-09-23,,1.347219,1.379071,
2009-09-24,,1.295169,1.293546,0.221000
2009-09-25,,1.306269,1.262436,0.211000
2009-09-28,,1.295177,1.291136,0.227000
2009-09-29,,1.328370,1.388524,0.228000
2009-09-30,,1.327179,1.381131,0.239000
2009-10-01,,1.341491,1.280676,0.234000
2009-10-02,,1.299261,1.266436,0.230000
2009-10-05,,1.297721,1.259365,0.231000
2009-10-06,,1.323017,1.254034,0.231000
2009-10-07,,1.328167,1.240343,0.236000
2009-10-08,,1.317372,1.207232,0.247000
2009-10-09,,1.449214,1.304774,0.252000
2009-10-12,,1.420870,1.244124,
2009-10-13,,1.377293,1.268426,0.249000
2009-10-14,,1.407783,1.323251,0.240000
2009-10-15,,1.461098,1.358844,0.245000
2009-10-16,,1.489588,1.395337,0.240000
2009-10-19,,1.487172,1.403385,0.246000
2009-10-20,,1.453232,1.344793,0.252000
2009-10-21,,1.474676,1.506732,0.252000
2009-10-22,,1.466822,1.511023,0.263000
2009-10-23,,1.492235,1.455100,0.273000
2009-10-26,,1.485162,1.460742,0.285000
2009-10-27,,1.406347,1.384107,0.280000
2009-10-28,,1.387510,1.390745,0.268000
2009-10-29,,1.465275,1.450532,0.253000
2009-10-30,,1.429095,1.426238,0.250000
2009-11-02,,1.409241,1.476101,0.246000
2009-11-03,,1.385426,1.486127,
2009-11-04,,1.427345,1.502655,0.267000
2009-11-05,,1.431713,1.509088,0.272000
