KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-01,,H,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-02,2.1469,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-03,2.1279,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-04,2.0916,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-07,2.0838,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-08,2.0774,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-09,2.0812,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-10,2.074,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-11,2.103,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-14,2.1077,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-15,2.1105,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-16,2.101,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-17,2.0945,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-18,2.0847,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-21,2.0686,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-22,2.0587,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-23,2.0655,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-24,2.0626,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
EXR.D.NZD.EUR.SP00.A,D,NZD,EUR,SP00,A,2002-01-25,2.0436,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,New Zealand dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, New Zealand dollar/Euro, 2.15 pm (C.E.T.)",NZD,0
