"CubeId";"rendeiduebd"
"PublishingDate";"2026-08-03 14:30"

"Date";"D0";"D1";"Value"
"1988-01-06";"KTB";"2J";
"1988-01-06";"KTB";"5J";
"1988-01-06";"KTB";"10J";
"1988-01-06";"PFI";"2J";
"1988-01-06";"PFI";"5J";
"1988-01-06";"PFI";"10J";
"1988-01-06";"GBA";"2J";
"1988-01-06";"GBA";"5J";
"1988-01-06";"GBA";"10J";
"1988-01-06";"GBB";"2J";
"1988-01-06";"GBB";"5J";
"1988-01-06";"GBB";"10J";
"1988-01-06";"GBC";"2J";
"1988-01-06";"GBC";"5J";
"1988-01-06";"GBC";"10J";
"1988-01-06";"IHA";"2J";
"1988-01-06";"IHA";"5J";
"1988-01-06";"IHA";"10J";
"1988-01-06";"IHB";"2J";
"1988-01-06";"IHB";"5J";
"1988-01-06";"IHB";"10J";
"1988-01-07";"CHF";"1J";
"1988-01-07";"CHF";"2J";
"1988-01-07";"CHF";"3J";
"1988-01-07";"CHF";"4J";
"1988-01-07";"CHF";"5J";
"1988-01-07";"CHF";"6J";
"1988-01-07";"CHF";"7J";
"1988-01-07";"CHF";"8J";
"1988-01-07";"CHF";"9J";
"1988-01-07";"CHF";"10J";
"1988-01-07";"CHF";"20J";
"1988-01-07";"CHF";"30J";
"1988-01-07";"EUR";"1J";
"1988-01-07";"EUR";"2J";
"1988-01-07";"EUR";"3J";
"1988-01-07";"EUR";"4J";
"1988-01-07";"EUR";"5J";
"1988-01-07";"EUR";"6J";
"1988-01-07";"EUR";"7J";
"1988-01-07";"EUR";"8J";
"1988-01-07";"EUR";"9J";
"1988-01-07";"EUR";"10J";
"1988-01-07";"EUR";"20J";
"1988-01-07";"EUR";"30J";
"1988-01-07";"KTA";"2J";
"1988-01-07";"KTA";"5J";
"1988-01-07";"KTA";"10J";
"1988-01-07";"KTB";"2J";
"1988-01-07";"KTB";"5J";
"1988-01-07";"KTB";"10J";
"1988-01-07";"PFI";"2J";
"1988-01-07";"PFI";"5J";
"1988-01-07";"PFI";"10J";
"1988-01-07";"GBA";"2J";
"1988-01-07";"GBA";"5J";
"1988-01-07";"GBA";"10J";
"1988-01-07";"GBB";"2J";
"1988-01-07";"GBB";"5J";
"1988-01-07";"GBB";"10J";
"1988-01-07";"GBC";"2J";
"1988-01-07";"GBC";"5J";
"1988-01-07";"GBC";"10J";
"1988-01-07";"IHA";"2J";
"1988-01-07";"IHA";"5J";
"1988-01-07";"IHA";"10J";
"1988-01-07";"IHB";"2J";
"1988-01-07";"IHB";"5J";
"1988-01-07";"IHB";"10J";
"1988-01-08";"CHF";"1J";
"1988-01-08";"CHF";"2J";
